aX,aY,aZ,gX,gY,gZ
-0.074,0.892,0.291,4.578,0.366,-1.160
-0.077,0.891,0.295,3.418,0.793,-0.854
-0.075,0.895,0.293,2.014,0.977,-0.549
-0.071,0.899,0.290,0.793,0.916,-0.671
-0.065,0.910,0.286,0.366,0.916,-0.916
-0.055,0.924,0.287,0.549,0.854,-1.160
-0.051,0.931,0.289,0.793,0.610,-1.465
-0.053,0.927,0.295,0.977,0.427,-1.587
-0.048,0.923,0.292,0.854,0.549,-1.526
-0.048,0.922,0.290,0.793,0.305,-1.282
-0.055,0.914,0.288,0.916,0.061,-1.343
-0.053,0.912,0.289,1.099,-0.183,-1.343
-0.046,0.915,0.290,1.404,-0.366,-1.404
-0.047,0.915,0.293,1.831,-0.610,-1.770
-0.052,0.908,0.298,2.075,-0.488,-1.892
-0.056,0.904,0.302,2.197,0.061,-1.709
-0.054,0.904,0.300,2.136,1.038,-1.404
-0.058,0.903,0.299,2.197,1.587,-0.977
-0.056,0.905,0.297,2.930,2.136,-0.366
-0.054,0.905,0.297,3.357,2.380,-0.061
-0.048,0.915,0.292,3.296,2.197,-0.122
-0.048,0.922,0.291,3.113,1.526,-0.488
-0.052,0.921,0.288,2.991,0.854,-0.977
-0.058,0.916,0.293,2.930,0.427,-0.977
-0.060,0.907,0.297,2.136,0.854,-0.854
-0.057,0.910,0.300,1.160,1.221,-0.610
-0.050,0.920,0.297,0.854,1.099,-0.549
-0.054,0.915,0.290,0.916,0.488,-0.793
-0.056,0.914,0.292,1.404,-0.183,-0.854
-0.055,0.909,0.298,1.831,-0.183,-0.854
-0.060,0.900,0.304,1.343,-0.061,-0.427
-0.059,0.904,0.304,0.488,0.366,-0.122
-0.052,0.911,0.300,0.427,0.366,0.000
-0.051,0.915,0.295,0.854,-0.122,-0.061
-0.047,0.918,0.298,1.465,-0.549,-0.183
-0.049,0.915,0.301,1.709,-0.610,-0.488
-0.052,0.911,0.307,2.014,-0.366,-0.244
-0.060,0.899,0.311,1.709,-0.122,0.244
-0.056,0.906,0.303,1.038,0.244,0.366
-0.039,0.930,0.291,1.465,0.183,0.305
-0.040,0.929,0.286,2.075,-0.488,-0.427
-0.041,0.932,0.294,2.686,-1.099,-0.793
-0.046,0.919,0.308,3.052,-1.160,-0.916

2.696,3.711,0.993,-539.856,287.598,191.589
-0.503,3.095,1.309,-296.021,-153.320,301.392
-0.036,2.124,0.597,-148.193,-110.657,235.840
1.126,2.198,-1.162,96.313,37.415,97.900
0.795,2.123,-1.313,189.819,13.672,-49.316
0.310,1.786,1.080,229.370,-80.688,-155.151
0.148,1.652,0.010,267.395,-24.109,-248.657
0.023,0.536,0.271,190.491,19.897,-297.363
0.172,0.062,0.374,119.507,19.287,-230.896
-0.302,0.235,0.414,12.939,31.250,-68.848
-0.284,0.182,0.336,-79.651,54.810,94.299
-0.223,0.602,0.165,-69.580,48.218,191.650
-0.361,0.964,-0.016,-46.204,29.785,195.129
-0.321,0.898,-0.040,-27.588,5.981,119.446
-0.230,0.844,0.037,-14.404,-8.850,54.199
-0.164,0.774,0.188,-7.690,-17.212,12.817
-0.114,0.806,0.285,-2.197,-20.996,-8.057
-0.077,0.897,0.359,5.981,-25.696,-12.817
-0.035,0.951,0.380,11.475,-27.893,-14.648
-0.005,0.961,0.364,16.968,-27.161,-12.024
0.032,1.021,0.333,19.470,-22.827,-4.456
0.052,1.054,0.298,21.484,-17.456,-2.197
0.057,1.059,0.269,20.996,-11.597,-4.395
0.038,1.054,0.256,15.564,-5.737,-6.409
0.010,1.021,0.245,10.498,-0.061,-11.780
-0.010,0.967,0.247,6.042,3.845,-13.489
-0.035,0.943,0.257,7.690,3.845,-6.958
-0.050,0.911,0.262,11.719,1.892,-3.052
-0.070,0.877,0.268,15.686,0.488,-2.136
-0.088,0.845,0.267,18.250,-0.305,-3.174
-0.099,0.830,0.262,18.066,-0.427,-3.601
-0.100,0.823,0.261,15.076,-0.061,-2.930
-0.094,0.826,0.266,9.216,1.404,-1.831
-0.079,0.853,0.273,3.296,3.418,-0.610
-0.038,0.903,0.271,-0.427,4.700,0.183
-0.025,0.924,0.273,-1.282,4.639,0.244
-0.022,0.944,0.273,-1.160,4.089,0.671
-0.014,0.947,0.276,-0.610,3.723,1.282
-0.012,0.952,0.274,-0.732,3.845,1.953
-0.004,0.966,0.265,-0.305,3.723,1.892
0.005,0.975,0.241,0.488,2.747,0.793
-0.012,0.957,0.234,0.916,1.221,-0.427
-0.025,0.938,0.248,0.061,0.793,-0.488
-0.018,0.937,0.258,-1.282,0.916,0.061
-0.023,0.923,0.264,-1.831,0.427,0.366
-0.029,0.921,0.255,-1.770,-0.610,0.244
-0.026,0.920,0.257,-0.854,-1.770,0.122
-0.026,0.908,0.273,-0.366,-2.197,-0.305
-0.026,0.904,0.285,-0.549,-2.014,-0.305
-0.016,0.913,0.286,0.061,-1.709,-0.427
-0.014,0.925,0.277,0.671,-1.648,-0.732
-0.005,0.931,0.275,1.465,-2.014,-1.221
-0.014,0.925,0.279,1.831,-2.502,-1.465
-0.026,0.916,0.292,2.014,-2.258,-1.160
-0.027,0.908,0.295,2.319,-1.892,-0.793
-0.027,0.912,0.288,2.625,-1.404,-0.793
-0.029,0.925,0.261,3.357,-1.282,-1.282
-0.030,0.921,0.250,4.272,-1.709,-2.136
-0.034,0.917,0.258,3.540,-1.892,-1.953
-0.037,0.910,0.276,2.563,-2.136,-0.977
-0.039,0.896,0.287,1.404,-2.380,-0.183
-0.038,0.895,0.289,0.366,-2.258,0.305
-0.033,0.897,0.286,-0.488,-1.831,0.061
-0.030,0.905,0.281,-0.610,-1.282,-0.427
-0.020,0.920,0.277,0.061,-0.793,-1.038
0.010,0.957,0.260,1.953,-0.671,-1.770
0.006,0.962,0.251,3.296,-1.770,-3.235
-0.012,0.959,0.250,3.601,-2.502,-4.028
-0.011,0.956,0.260,3.540,-2.258,-3.906
-0.018,0.943,0.273,3.540,-2.014,-3.235
-0.029,0.924,0.283,3.235,-1.587,-2.563
-0.031,0.911,0.284,3.662,-1.160,-2.197
-0.032,0.904,0.277,3.906,-0.671,-2.136
-0.038,0.900,0.267,4.028,-0.854,-2.258
-0.041,0.899,0.259,3.967,-0.916,-2.197
-0.041,0.896,0.262,3.052,-0.366,-1.648
-0.042,0.893,0.274,1.343,0.305,-0.732
-0.043,0.889,0.283,-0.305,1.099,0.122
-0.040,0.894,0.283,-1.587,1.526,0.549
-0.014,0.929,0.263,-1.953,1.831,0.549
-0.000,0.947,0.250,-1.404,0.916,-0.610
-0.012,0.946,0.251,-1.099,-0.427,-1.770
-0.011,0.949,0.266,-0.427,-0.916,-1.648
-0.009,0.937,0.282,0.244,-0.427,-1.343
-0.014,0.923,0.287,0.427,0.916,-0.488
-0.011,0.928,0.278,0.671,2.075,-0.061
-0.000,0.938,0.265,1.343,2.136,-0.488
-0.010,0.930,0.259,2.502,1.648,-1.526
-0.016,0.925,0.264,3.296,1.160,-2.441
-0.024,0.915,0.273,3.357,1.221,-2.686
-0.036,0.904,0.285,2.502,2.014,-2.380
-0.038,0.905,0.282,1.587,3.052,-1.892
-0.018,0.922,0.261,1.526,3.479,-1.404
-0.013,0.921,0.254,1.709,2.563,-1.465
-0.023,0.925,0.260,1.343,1.587,-1.526
-0.014,0.928,0.266,1.160,1.221,-1.343
-0.012,0.939,0.271,1.038,0.977,-1.160
-0.010,0.939,0.276,1.221,0.793,-1.099
-0.006,0.933,0.279,1.892,0.549,-1.099
-0.015,0.920,0.277,2.380,0.122,-1.160
-0.016,0.920,0.274,2.563,0.305,-1.221
-0.018,0.917,0.275,2.747,0.732,-1.343
-0.021,0.926,0.267,3.418,0.793,-1.587
-0.009,0.929,0.264,4.456,0.610,-1.892
-0.023,0.911,0.275,4.456,0.000,-2.380
-0.030,0.903,0.287,3.357,0.000,-1.831
-0.025,0.903,0.287,2.502,0.366,-0.916
-0.028,0.902,0.278,2.319,0.183,-0.549
-0.029,0.899,0.271,2.197,0.122,-0.488
-0.028,0.906,0.266,1.770,0.061,-0.610
-0.028,0.914,0.267,1.221,0.122,-0.916
-0.014,0.928,0.269,0.610,0.305,-0.854
-0.004,0.942,0.275,0.183,0.061,-0.793
-0.007,0.938,0.284,0.061,-0.061,-0.793
-0.008,0.935,0.289,0.366,0.000,-0.732
-0.012,0.927,0.287,1.038,-0.061,-0.549
-0.016,0.924,0.282,1.465,0.183,-0.488
-0.012,0.931,0.274,1.953,0.000,-0.671
-0.008,0.928,0.274,2.808,-0.061,-0.916

4.000,-2.225,4.000,-580.322,513.611,56.458
2.580,3.917,0.125,-571.838,214.478,226.624
-0.625,1.884,1.380,-250.732,-256.531,280.945
-0.265,1.713,0.487,-79.224,-165.405,245.178
1.146,1.910,-1.069,142.944,-7.568,109.131
1.041,2.113,-1.211,201.477,-12.207,-72.266
0.540,1.574,0.569,172.302,-46.021,-179.565
0.471,1.533,0.124,133.057,53.101,-201.233
0.613,0.504,0.336,74.402,55.969,-197.449
-0.104,0.392,0.432,-35.400,60.486,-53.223
0.026,0.520,0.475,-42.847,59.937,110.718
-0.078,0.817,0.375,10.559,43.274,188.232
-0.288,0.779,0.245,12.817,33.264,162.842
-0.265,0.804,0.051,12.756,21.484,99.609
-0.263,0.745,0.017,20.142,1.892,37.598
-0.211,0.707,0.040,23.254,-5.920,0.305
-0.167,0.760,0.120,20.996,-9.644,-13.794
-0.114,0.798,0.220,13.550,-14.282,-18.188
-0.055,0.824,0.297,5.188,-18.860,-14.832
-0.031,0.927,0.346,-3.113,-23.254,-1.526
0.018,0.999,0.343,-8.362,-25.208,6.409
0.049,1.029,0.309,-10.437,-21.912,6.409
0.043,1.053,0.272,-10.010,-16.602,2.075
0.048,1.041,0.249,-7.019,-12.695,-2.014
0.058,1.055,0.251,-2.502,-9.216,-1.953
0.050,1.041,0.259,3.052,-6.836,-0.610
0.038,1.010,0.260,8.667,-5.981,-0.793
0.018,0.970,0.263,14.099,-5.920,-1.282
-0.001,0.929,0.262,17.456,-5.127,-1.587
-0.038,0.875,0.258,16.907,-1.587,-1.526
-0.049,0.850,0.260,14.282,-0.488,-1.404
-0.031,0.874,0.281,5.005,2.197,-1.282
-0.015,0.901,0.280,3.113,3.479,-1.343
0.006,0.931,0.282,2.502,4.822,-1.282
0.011,0.949,0.276,2.563,5.615,-1.404
0.016,0.960,0.270,3.357,6.226,-1.404
0.013,0.969,0.255,3.601,6.348,-1.099
0.007,0.966,0.238,3.662,5.798,-0.793
-0.004,0.950,0.235,3.784,4.517,-0.549
-0.012,0.937,0.243,3.113,3.601,0.061
-0.019,0.917,0.259,2.075,3.174,0.366
-0.012,0.914,0.258,1.282,2.686,0.488
-0.005,0.916,0.251,1.160,1.648,0.061
-0.007,0.913,0.253,0.916,0.427,-0.916
-0.004,0.918,0.257,0.793,0.000,-1.587
0.001,0.918,0.269,1.404,-0.183,-1.648
-0.005,0.917,0.278,2.441,0.122,-1.404
-0.012,0.913,0.276,2.380,0.916,-1.038
-0.001,0.917,0.268,1.648,1.282,-0.916
0.007,0.930,0.270,1.648,1.099,-1.160
0.009,0.931,0.272,1.892,-0.061,-1.831
