aX,aY,aZ,gX,gY,gZ
-0.179,0.940,-0.048,3.967,3.174,4.028
-0.177,0.942,-0.037,2.869,3.113,4.395
-0.173,0.941,-0.028,2.991,2.197,3.967
-0.176,0.936,-0.024,4.272,1.038,3.723
-0.176,0.926,-0.027,5.859,0.000,4.272
-0.174,0.914,-0.037,6.714,-0.610,5.066
-0.181,0.910,-0.050,5.737,-1.526,5.859
-0.189,0.909,-0.058,3.235,-2.258,6.287
-0.202,0.921,-0.057,0.549,-2.441,5.798
-0.211,0.936,-0.059,-1.465,-2.075,4.639
-0.202,0.951,-0.057,-2.197,-1.343,3.418
-0.193,0.954,-0.062,-1.770,-0.916,2.441
-0.184,0.954,-0.067,-1.099,-1.465,2.136
-0.178,0.950,-0.073,-0.305,-2.563,1.953
-0.179,0.942,-0.079,0.427,-3.906,1.953
-0.193,0.935,-0.089,0.610,-5.066,1.831
-0.205,0.939,-0.097,0.305,-5.432,1.831
-0.210,0.943,-0.096,0.305,-4.944,1.770
-0.219,0.951,-0.119,-0.122,-3.723,2.441
-0.224,0.963,-0.108,-0.854,-1.587,3.418
-0.228,0.970,-0.114,-0.916,0.305,4.517
-0.220,0.970,-0.108,-1.526,2.502,5.188
-0.224,0.973,-0.096,-1.770,3.845,5.737
-0.231,0.977,-0.084,-2.136,4.700,5.981
-0.212,0.970,-0.075,-2.686,5.188,6.165
-0.204,0.958,-0.071,-2.808,4.089,6.592
-0.214,0.958,-0.068,-3.296,2.258,7.690
-0.229,0.958,-0.069,-4.395,0.916,9.033

2.874,0.053,0.224,-101.135,51.453,-173.584
3.422,0.996,0.166,-62.683,31.555,-133.362
3.856,1.910,0.226,22.766,16.357,-118.042
3.829,2.692,0.074,116.089,2.869,-136.414
3.328,3.353,-0.100,243.225,-27.100,-163.147
2.162,3.146,-0.252,372.131,-57.129,-180.176
1.275,2.018,-0.630,374.756,-68.787,-172.729
0.612,1.359,-0.973,225.525,-91.675,-104.980
0.114,1.579,-1.107,-7.202,-93.567,-6.653
0.085,1.878,-0.999,-200.195,-65.491,78.003
-0.072,2.054,-0.853,-283.142,-22.583,124.695
-0.224,1.933,-0.778,-258.301,17.334,130.066
-0.048,1.586,-0.684,-196.777,58.105,87.036
-0.153,1.187,-0.521,-94.604,68.970,62.134
-0.075,0.774,-0.367,-17.456,69.763,47.485
-0.088,0.714,-0.092,24.292,63.538,41.992
-0.108,0.701,0.231,46.570,59.021,37.720
-0.009,0.680,0.369,58.655,54.993,29.114
-0.055,0.670,0.476,73.059,44.983,15.686
-0.019,0.574,0.472,83.069,28.748,0.916
0.013,0.560,0.408,79.590,6.897,-10.010
-0.018,0.646,0.356,66.956,-16.052,-16.541
-0.033,0.766,0.227,48.096,-31.494,-22.583
-0.042,0.884,0.038,24.658,-40.894,-28.015
-0.064,1.014,-0.120,2.197,-46.387,-31.494
-0.093,1.160,-0.245,-16.968,-45.410,-30.151
-0.115,1.253,-0.356,-31.006,-37.842,-24.597
-0.126,1.274,-0.431,-37.354,-27.222,-15.747
-0.123,1.309,-0.477,-37.354,-15.930,-4.822
-0.138,1.325,-0.449,-27.710,-4.211,5.371
-0.116,1.266,-0.391,-9.521,8.728,13.000
-0.106,1.191,-0.299,12.085,18.921,15.991
-0.092,1.100,-0.221,31.555,25.879,13.855
-0.101,1.006,-0.140,45.044,27.527,9.644
-0.103,0.943,-0.062,50.354,26.917,5.798
-0.106,0.924,-0.017,48.523,24.475,3.052
-0.117,0.901,0.001,43.579,20.325,0.977
-0.113,0.885,-0.006,34.668,14.893,-0.610
-0.131,0.868,-0.020,23.499,8.240,-0.671
-0.137,0.884,-0.046,9.766,2.625,1.282
-0.145,0.913,-0.069,-1.892,-1.587,4.333
-0.156,0.905,-0.115,-8.301,-3.784,6.653
-0.175,0.902,-0.136,-12.329,-4.883,8.911
-0.200,0.923,-0.160,-16.113,-4.272,11.292
-0.212,0.933,-0.169,-17.639,-2.319,12.024
-0.214,0.937,-0.172,-15.564,0.000,10.498
-0.219,0.927,-0.168,-11.108,2.014,7.690
-0.216,0.926,-0.162,-5.981,4.028,4.761
-0.216,0.919,-0.148,-0.793,5.737,2.197
-0.224,0.918,-0.137,4.089,7.202,0.183
-0.214,0.921,-0.129,7.996,7.874,-1.282
-0.211,0.927,-0.117,10.315,7.568,-2.625
-0.217,0.924,-0.102,10.559,7.202,-3.662
-0.212,0.911,-0.095,8.606,6.714,-3.784
-0.207,0.903,-0.093,4.822,5.249,-3.845
-0.212,0.896,-0.081,1.038,2.991,-3.723
-0.212,0.910,-0.071,-1.953,1.953,-2.991
-0.211,0.926,-0.073,-4.028,1.526,-1.709
-0.212,0.939,-0.069,-5.066,1.160,-1.160
-0.209,0.942,-0.065,-4.395,0.671,-1.709
-0.214,0.937,-0.060,-2.747,0.549,-2.747
-0.206,0.943,-0.061,-1.160,0.854,-3.479
-0.200,0.942,-0.062,0.366,1.221,-4.028
-0.204,0.952,-0.060,1.770,1.343,-4.456
-0.195,0.973,-0.057,3.113,1.892,-4.333
-0.189,0.976,-0.059,4.517,2.441,-4.517
-0.186,0.978,-0.062,5.432,2.686,-4.578
-0.177,0.981,-0.072,6.287,2.441,-4.150
-0.179,0.993,-0.067,6.897,1.831,-3.418
-0.177,1.009,-0.070,7.324,1.160,-2.258
-0.173,1.005,-0.075,7.141,0.916,-0.793
-0.177,0.994,-0.083,6.042,0.732,1.160
-0.178,0.989,-0.092,3.967,0.061,3.052
-0.183,0.988,-0.097,2.563,-0.793,4.456
-0.188,0.974,-0.097,1.953,-1.526,5.127
