aX,aY,aZ,gX,gY,gZ
0.133,0.918,-0.107,6.897,11.475,-1.160
0.138,0.917,-0.112,10.437,8.728,-1.465
0.140,0.921,-0.113,12.634,7.690,-1.099
0.140,0.926,-0.115,13.550,8.118,-0.732
0.143,0.935,-0.110,13.245,9.338,-1.099
0.142,0.933,-0.108,13.123,10.986,-1.770
0.140,0.919,-0.109,12.695,12.451,-2.869
0.140,0.916,-0.104,11.169,14.404,-3.662
0.150,0.921,-0.101,8.545,16.907,-4.211
0.156,0.920,-0.098,5.493,18.921,-5.371
0.157,0.929,-0.090,2.686,20.020,-6.836
0.167,0.958,-0.074,2.380,20.264,-8.118
0.178,0.975,-0.069,3.113,20.691,-10.071
0.169,0.960,-0.058,2.441,21.057,-13.184
0.159,0.968,-0.048,-0.305,21.179,-16.113
0.158,0.952,-0.067,-1.648,20.691,-18.372
0.151,0.938,-0.048,1.099,21.912,-18.005
0.156,0.930,-0.050,-0.610,23.987,-17.151
0.167,0.931,-0.039,-6.409,26.855,-16.785
0.178,0.942,-0.054,-6.409,28.137,-15.015
0.185,0.952,-0.044,-11.047,28.198,-14.099
0.188,0.952,-0.047,-11.719,27.100,-13.184
0.186,0.960,-0.048,-10.376,24.414,-11.841
0.170,0.958,-0.042,-5.493,20.691,-9.827
0.148,0.981,-0.051,0.061,17.700,-7.996
0.183,0.959,-0.053,5.920,15.442,-7.507
0.175,0.960,-0.061,9.277,14.221,-5.737
0.177,0.968,-0.068,13.611,12.634,-3.723
0.182,0.969,-0.063,16.602,11.108,-2.991
0.178,0.969,-0.058,18.066,10.681,-3.052
0.178,0.967,-0.058,18.311,10.986,-3.357
0.181,0.957,-0.064,17.822,11.719,-3.479
0.183,0.942,-0.074,17.090,12.512,-3.296
0.189,0.945,-0.079,15.503,12.756,-3.418
0.192,0.952,-0.083,13.611,12.085,-4.089
0.196,0.954,-0.081,12.329,11.047,-5.005
0.193,0.961,-0.076,12.329,9.521,-5.859
0.189,0.969,-0.078,13.000,9.155,-6.653
0.191,0.964,-0.080,14.038,9.338,-7.507
0.190,0.962,-0.079,15.137,9.460,-7.812
0.186,0.957,-0.079,15.991,10.254,-8.118
0.181,0.948,-0.074,15.930,11.169,-8.545
0.181,0.949,-0.079,15.625,12.451,-9.277
0.185,0.932,-0.078,14.648,13.306,-10.254
0.193,0.926,-0.077,13.184,13.672,-10.681
0.194,0.936,-0.076,12.512,13.672,-11.230
0.200,0.933,-0.084,13.306,13.184,-11.963
0.204,0.929,-0.093,14.954,11.292,-11.902
0.209,0.933,-0.100,17.151,8.667,-10.010
0.210,0.927,-0.099,18.677,6.042,-7.202
0.211,0.931,-0.103,18.799,4.456,-4.272
0.215,0.929,-0.113,17.761,4.456,-1.953
0.223,0.931,-0.109,15.930,4.517,-0.305
0.216,0.926,-0.104,13.733,5.737,1.221
0.214,0.926,-0.104,11.841,8.362,3.052
0.208,0.930,-0.102,10.376,11.719,5.005
0.204,0.931,-0.106,9.521,14.648,6.653
0.205,0.944,-0.105,9.827,15.747,8.057
0.205,0.953,-0.100,11.108,16.479,8.972
0.198,0.954,-0.091,12.695,17.395,8.667
0.197,0.954,-0.089,14.282,18.372,7.568
0.198,0.946,-0.084,15.259,19.165,6.287

1.983,0.477,-0.456,-127.380,-348.816,39.734
1.907,0.459,-0.701,-131.470,-352.051,43.335
1.721,0.477,-0.946,-134.766,-359.741,45.410
1.522,0.590,-1.139,-136.108,-364.319,45.898
1.333,0.759,-1.293,-136.047,-355.408,42.664
1.175,0.849,-1.815,-123.779,-327.393,33.203
1.147,1.097,-2.229,-115.845,-299.988,17.090
0.869,1.351,-2.181,-117.004,-270.325,-6.653
0.234,1.389,-2.035,-139.465,-184.998,-27.649
-0.088,1.424,-1.722,-181.030,-53.467,-25.269
0.038,1.471,-1.460,-197.876,70.923,-9.094
0.261,1.579,-1.310,-174.866,151.794,-4.639
0.457,1.366,-1.109,-115.967,183.228,-11.780
0.484,0.935,-1.086,-5.981,176.453,-8.667
0.480,0.968,-1.215,107.971,144.165,15.320
0.443,0.976,-0.996,151.306,74.646,56.458
0.327,0.870,-0.598,159.851,8.911,71.289
0.232,0.736,-0.517,193.726,-16.479,71.777
0.191,0.703,-0.370,214.050,-28.076,64.758
0.150,0.670,-0.219,214.294,-28.870,51.880
0.148,0.569,-0.248,207.642,-16.113,36.377
0.160,0.536,-0.214,172.424,-5.615,25.024
0.171,0.567,-0.210,120.605,6.714,18.127
0.178,0.620,-0.203,64.026,19.653,13.977
0.186,0.679,-0.195,14.893,28.625,12.207
0.193,0.762,-0.183,-16.541,32.593,13.855
0.187,0.813,-0.178,-33.997,28.870,18.311
0.171,0.845,-0.197,-38.391,21.240,23.560
0.140,0.861,-0.193,-32.776,11.414,28.198
0.116,0.866,-0.202,-19.531,2.991,30.151
0.092,0.840,-0.216,-6.531,-1.648,28.503
0.068,0.834,-0.208,4.028,-3.418,24.902
0.070,0.826,-0.213,14.160,-2.686,20.081
0.071,0.801,-0.224,23.010,-1.160,15.259
0.059,0.791,-0.200,25.818,0.793,11.597
0.070,0.803,-0.186,24.109,6.653,8.484
0.088,0.829,-0.176,20.020,14.221,5.493
0.106,0.866,-0.142,14.526,20.081,3.845
0.117,0.889,-0.121,10.986,24.231,2.991
0.122,0.887,-0.103,8.362,25.879,3.723
0.125,0.893,-0.098,6.775,25.146,6.042
0.120,0.880,-0.096,5.249,21.729,9.216
0.106,0.883,-0.081,2.502,17.273,12.390
0.090,0.912,-0.052,1.343,14.587,14.282
0.077,0.911,-0.038,3.357,15.076,13.733
0.065,0.893,-0.019,6.348,15.869,12.329
0.067,0.897,-0.015,8.911,16.968,10.864
0.068,0.886,-0.034,10.864,17.334,8.789
0.069,0.881,-0.019,10.925,15.381,5.798
0.083,0.890,-0.022,10.986,14.221,2.747
0.088,0.894,-0.042,10.315,12.878,0.122
0.104,0.904,-0.049,8.301,11.353,-1.648
0.114,0.923,-0.067,4.761,10.315,-3.357
0.122,0.935,-0.080,2.075,8.545,-4.211
0.120,0.954,-0.082,0.305,6.714,-4.456
0.120,0.950,-0.098,-0.122,6.226,-4.517
0.111,0.935,-0.090,-1.282,5.127,-4.211
0.099,0.930,-0.062,-3.845,5.737,-3.174
0.099,0.914,-0.072,-4.761,9.644,-1.892
0.106,0.917,-0.081,-6.348,13.184,-0.427
0.112,0.929,-0.081,-9.094,14.648,0.305
0.118,0.958,-0.076,-10.193,14.893,-0.366
0.116,0.970,-0.067,-8.728,14.404,-2.197
0.113,0.960,-0.070,-5.615,13.611,-4.578
0.117,0.957,-0.068,-2.441,13.000,-6.958
0.117,0.974,-0.057,-1.160,13.123,-9.216
0.120,0.984,-0.048,-1.465,14.160,-11.597
0.126,0.991,-0.043,-3.052,15.625,-14.404
0.131,0.991,-0.032,-5.432,16.541,-17.395
0.132,0.987,-0.018,-7.629,17.029,-19.592
0.136,0.978,-0.007,-10.681,17.883,-20.691
0.138,0.972,-0.037,-13.062,19.104,-20.691
0.146,0.963,-0.016,-19.348,18.616,-21.179
0.147,0.985,-0.037,-20.752,17.700,-20.081
0.146,0.978,-0.034,-24.902,16.174,-20.386
0.146,0.977,-0.047,-25.574,15.442,-19.897
0.150,0.957,-0.034,-29.480,13.977,-19.714
0.151,0.979,-0.060,-24.048,12.817,-15.686
0.149,0.967,-0.049,-22.278,10.986,-12.817
0.152,0.959,-0.070,-17.090,9.094,-8.118
0.156,0.953,-0.085,-13.062,6.104,-4.272
0.156,0.969,-0.098,-9.460,2.380,-1.648
0.157,0.976,-0.113,-7.019,-1.282,-0.977
0.155,0.974,-0.127,-4.089,-5.005,-1.404
0.151,0.967,-0.130,-1.160,-8.728,-2.563
0.147,0.972,-0.134,1.770,-10.925,-3.418
0.151,0.967,-0.137,4.211,-11.047,-3.906
0.153,0.962,-0.131,4.700,-10.071,-4.089
0.151,0.964,-0.131,4.272,-7.935,-3.723
0.160,1.012,-0.146,4.150,-5.066,-2.686
0.155,0.968,-0.132,5.371,-2.747,-1.648
0.144,0.967,-0.137,3.723,1.526,-1.282
0.178,0.977,-0.160,0.427,4.333,-0.610
0.173,0.980,-0.159,1.770,1.160,-1.404
0.162,0.962,-0.161,5.127,-2.075,-1.587
0.156,0.963,-0.171,7.019,-2.808,-1.282
0.149,0.968,-0.172,8.789,-2.930,-1.282
0.147,0.963,-0.175,10.742,-2.930,-1.892
0.148,0.957,-0.185,13.123,-2.747,-2.930
0.146,0.947,-0.181,15.137,-2.258,-4.028
0.151,0.960,-0.188,16.907,-0.732,-4.517
0.169,0.954,-0.191,18.250,1.099,-5.798
0.167,0.949,-0.193,19.104,2.625,-5.859
0.165,0.956,-0.194,19.409,3.662,-5.798
0.175,0.946,-0.181,18.860,4.517,-6.836
0.183,0.934,-0.187,17.273,5.859,-6.104
0.178,0.934,-0.198,14.160,7.141,-2.991
0.180,0.927,-0.186,9.583,6.897,-0.671
0.183,0.936,-0.191,5.859,7.385,1.526
0.194,0.943,-0.215,4.395,8.362,3.540
0.195,0.952,-0.234,3.235,8.545,4.883
0.194,0.971,-0.251,3.357,9.155,5.676
0.185,0.977,-0.254,3.723,11.536,6.165
0.183,0.979,-0.256,4.395,16.052,6.653
0.186,0.977,-0.261,4.944,21.484,6.836
0.196,0.973,-0.272,6.287,26.123,7.263
0.205,0.980,-0.263,7.507,28.687,8.118
0.209,0.979,-0.255,10.071,31.006,9.216
0.221,0.957,-0.250,12.756,33.264,10.559

1.676,0.326,-0.893,-84.900,-304.565,93.445
1.563,0.514,-1.045,-50.415,-329.712,81.665
1.428,0.876,-0.790,-9.644,-343.079,56.091
1.271,0.957,-1.198,51.941,-313.354,13.550
1.181,0.966,-1.416,79.773,-276.672,-32.898
1.169,0.953,-1.788,74.097,-249.695,-73.364
1.103,1.225,-1.972,55.359,-219.727,-103.699
0.596,1.256,-1.854,13.123,-166.687,-127.808
0.071,1.241,-1.570,-50.720,-77.515,-128.235
0.077,1.391,-1.275,-109.985,27.222,-98.694
0.225,1.506,-1.059,-137.512,116.882,-66.223
0.375,1.348,-0.935,-131.165,172.241,-49.866
0.507,1.073,-0.745,-80.872,187.378,-24.048
0.515,0.974,-0.801,5.615,172.852,23.499
0.472,1.020,-0.759,78.735,122.192,71.350
0.408,0.981,-0.554,117.798,53.589,91.797
0.319,0.824,-0.473,158.752,-2.563,90.759
0.211,0.718,-0.324,188.599,-42.786,78.003
0.131,0.641,-0.167,203.430,-57.922,60.425
0.119,0.615,-0.221,208.984,-44.006,41.687
0.119,0.603,-0.172,182.739,-26.672,26.489
0.130,0.621,-0.155,145.142,-9.766,13.916
0.165,0.675,-0.130,101.990,4.456,3.357
0.201,0.701,-0.140,54.688,16.907,-5.249
0.231,0.768,-0.134,10.010,25.330,-10.559
0.262,0.866,-0.128,-23.682,29.480,-11.658
0.273,0.946,-0.142,-42.603,28.503,-9.155
0.278,0.999,-0.151,-47.729,21.240,-4.578
0.265,1.014,-0.160,-44.189,11.597,0.366
0.232,1.006,-0.182,-35.095,2.563,5.188
0.188,0.979,-0.190,-23.254,-4.639,8.911
0.150,0.960,-0.183,-12.207,-8.240,11.108
0.129,0.948,-0.192,-1.770,-6.042,12.207
0.125,0.953,-0.185,7.935,-1.282,11.902
0.135,0.956,-0.174,16.479,4.639,10.376
0.146,0.942,-0.159,23.804,10.376,8.606
0.164,0.933,-0.140,28.381,15.137,7.324
0.189,0.920,-0.123,30.884,19.592,7.019
0.183,0.928,-0.106,29.480,22.705,7.324
0.191,0.924,-0.091,26.917,24.902,7.507
0.187,0.910,-0.068,24.292,23.865,7.568
0.169,0.903,-0.034,22.461,21.545,8.362
0.165,0.923,-0.018,21.118,19.775,9.705
0.155,0.920,-0.010,19.714,17.700,10.803
0.153,0.896,-0.011,17.944,14.099,10.681
0.145,0.861,-0.021,13.977,10.681,10.437
0.123,0.854,-0.018,6.104,9.155,9.644
0.123,0.862,-0.022,-1.160,10.315,8.301
0.136,0.880,-0.040,-6.531,12.329,6.714
0.151,0.902,-0.059,-9.949,13.367,4.761
0.164,0.908,-0.081,-11.536,13.367,2.380
0.162,0.922,-0.090,-11.536,11.780,0.427
0.158,0.927,-0.088,-9.827,9.399,-1.465
0.153,0.923,-0.099,-6.287,7.874,-3.235
